,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
61,0.02564102564102564,0.21875,0.5,0.16793211255024565,0.001554346619296103,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.12068922201439508,0.46875
62,0.02564102564102564,0.21875,0.5,0.1688253684680661,0.0017763961363384034,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9587680079483358,0.3333333333333333,0.13636363636363635,0.3679799842265932,0.09375
63,0.02564102564102564,0.21875,0.875,0.1688253684680661,0.0027756189630287554,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9562841530054644,0.3333333333333333,0.13636363636363635,0.2615759909241335,0.1534090909090909
64,0.02564102564102564,0.21875,0.875,0.1688253684680661,0.00521816365049406,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9488325881768505,0.3333333333333333,0.13636363636363635,0.1575857919141832,0.8806818181818182
65,0.02564102564102564,0.21875,0.5,0.1688253684680661,0.005884312201620961,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9632389468455043,0.3333333333333333,0.13636363636363635,0.2733720558483034,0.48579545454545453
66,0.02564102564102564,0.21875,0.5,0.1688253684680661,0.005884312201620961,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9632389468455043,0.3333333333333333,0.13636363636363635,0.2684725460455892,0.48579545454545453
67,0.02564102564102564,0.21875,0.5,0.1688253684680661,0.005884312201620961,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9632389468455043,0.3333333333333333,0.13636363636363635,0.348275541022434,0.8153409090909091
68,0.02564102564102564,0.21875,0.5,0.16971862438588656,0.00521816365049406,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9488325881768505,0.3333333333333333,0.13636363636363635,0.1674872746242732,0.5994318181818182
69,0.02564102564102564,0.21875,0.5,0.16971862438588656,0.006106361718663262,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.3384233194203544,0.022727272727272728
70,0.02564102564102564,0.21875,0.875,0.1701652523447968,0.0038858665482402574,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.22660060423675085,0.3835227272727273
71,0.02564102564102564,0.21875,0.5,0.17105850826261723,0.005662262684578661,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9622454048683556,0.3333333333333333,0.13636363636363635,0.1822656070273926,0.4090909090909091
72,0.02564102564102564,0.21875,0.5,0.1719517641804377,0.002109470411901854,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9538002980625931,0.3333333333333333,0.13636363636363635,0.16130352773572795,0.4659090909090909
73,0.02564102564102564,0.21875,0.5,0.1719517641804377,0.002109470411901854,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9538002980625931,0.3333333333333333,0.13636363636363635,0.1527089422211538,0.6505681818181818
74,0.02564102564102564,0.21875,0.5,0.1719517641804377,0.002109470411901854,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9538002980625931,0.3333333333333333,0.13636363636363635,0.1280783882159548,0.017045454545454544
